Measurement,Time,AMPM,WP1,WP2,WP3,WP4
2018-07-15,1:00:00,AM,-8.9,-9.2,-9.9,-9.6
2018-07-15,2:00:00,AM,-8.9,-9.2,-9.9,-9.6
2018-07-15,3:00:00,AM,-8.8,-9.2,-9.9,-9.5
2018-07-15,4:00:00,AM,-8.8,-9.2,-9.9,-9.5
2018-07-15,5:00:00,AM,-8.8,-9.2,-9.9,-9.5
2018-07-15,6:00:00,AM,-8.8,-9.2,-9.9,-9.5
2018-07-15,7:00:00,AM,-8.8,-9.2,-9.9,-9.5
2018-07-15,8:00:00,AM,-8.8,-9.2,-9.9,-9.5
2018-07-15,9:00:00,AM,-8.7,-9.1,-9.9,-9.5
2018-07-15,10:00:00,AM,-8.9,-9.2,-10,-9.5
2018-07-15,11:00:00,AM,-8.9,-9.3,-10,-9.6
2018-07-15,12:00:00,PM,-8.9,-9.3,-10,-9.6
2018-07-15,1:00:00,PM,-8.7,-9.3,-9.9,-9.7
2018-07-15,2:00:00,PM,-8.9,-9.3,-10,-9.7
2018-07-15,3:00:00,PM,-8.8,-9.3,-9.9,-9.7
2018-07-15,4:00:00,PM,-8.9,-9.2,-10,-9.7
2018-07-15,5:00:00,PM,-8.9,-9.2,-10,-9.7
2018-07-15,6:00:00,PM,-8.7,-9.2,-9.9,-9.7
2018-07-15,7:00:00,PM,-8.9,-9.2,-10,-9.7
2018-07-15,8:00:00,PM,-8.9,-9.2,-10,-9.6
2018-07-15,9:00:00,PM,-8.8,-9.1,-9.9,-9.6
2018-07-15,10:00:00,PM,-8.8,-9.1,-9.9,-9.6
2018-07-15,11:00:00,PM,-8.8,-9,-9.9,-9.6
2018-07-16,12:00:00,AM,-8.8,-9,-9.9,-9.6
2018-07-16,1:00:00,AM,-8.8,-9,-9.9,-9.6
2018-07-16,2:00:00,AM,-8.8,-9,-9.9,-9.5
2018-07-16,3:00:00,AM,-8.8,-9,-9.9,-9.5
2018-07-16,4:00:00,AM,-8.8,-9,-9.9,-9.5
2018-07-16,5:00:00,AM,-8.8,-9,-9.8,-9.5
2018-07-16,6:00:00,AM,-8.8,-9,-9.8,-9.5
2018-07-16,7:00:00,AM,-8.8,-9,-9.8,-9.5
2018-07-16,8:00:00,AM,-8.8,-9,-9.8,-9.5
2018-07-16,9:00:00,AM,-8.8,-9,-9.8,-9.5
2018-07-16,10:00:00,AM,-8.7,-9.1,-9.9,-9.5
2018-07-16,11:00:00,AM,-8.8,-9.2,-9.9,-9.6
2018-07-16,12:00:00,PM,-8.8,-9.2,-9.9,-9.6
2018-07-16,1:00:00,PM,-8.7,-9.2,-9.9,-9.6
2018-07-16,2:00:00,PM,-8.8,-9.2,-10,-9.5
2018-07-16,3:00:00,PM,-8.7,-9.2,-9.9,-9.5
2018-07-16,4:00:00,PM,-8.8,-9.2,-9.9,-9.5
2018-07-16,5:00:00,PM,-8.8,-9.2,-9.9,-9.5
2018-07-16,6:00:00,PM,-8.7,-9.2,-9.9,-9.5
2018-07-16,7:00:00,PM,-8.8,-9.2,-9.9,-9.5
2018-07-16,8:00:00,PM,-8.8,-9.1,-9.9,-9.5
2018-07-16,9:00:00,PM,-8.8,-9.1,-9.9,-9.4
2018-07-16,10:00:00,PM,-8.8,-9.1,-9.9,-9.4
2018-07-16,11:00:00,PM,-8.8,-9,-9.9,-9.4
2018-07-17,12:00:00,AM,-8.8,-9,-9.9,-9.4
2018-07-17,1:00:00,AM,-8.8,-9,-9.9,-9.4
2018-07-17,2:00:00,AM,-8.8,-9,-9.9,-9.4
2018-07-17,3:00:00,AM,-8.8,-9,-9.9,-9.4
2018-07-17,4:00:00,AM,-8.7,-9,-9.9,-9.4
2018-07-17,5:00:00,AM,-8.7,-9,-9.8,-9.4
2018-07-17,6:00:00,AM,-8.7,-9,-9.8,-9.4
2018-07-17,7:00:00,AM,-8.7,-9,-9.8,-9.4
2018-07-17,8:00:00,AM,-8.7,-9,-9.8,-9.4
2018-07-17,9:00:00,AM,-8.6,-9,-9.8,-9.3
2018-07-17,10:00:00,AM,-8.8,-9.2,-9.9,-9.4
2018-07-17,11:00:00,AM,-8.8,-9.2,-9.9,-9.4
2018-07-17,12:00:00,PM,-8.8,-9.2,-9.9,-9.4
2018-07-17,1:00:00,PM,-8.6,-9.2,-9.8,-9.4
2018-07-17,2:00:00,PM,-8.8,-9.2,-9.9,-9.4
2018-07-17,3:00:00,PM,-8.7,-9.2,-9.8,-9.4
2018-07-17,4:00:00,PM,-8.8,-9.1,-9.9,-9.4
2018-07-17,5:00:00,PM,-8.8,-9.1,-9.9,-9.4
2018-07-17,6:00:00,PM,-8.7,-9.1,-9.8,-9.4
2018-07-17,7:00:00,PM,-8.8,-9.1,-9.9,-9.4
2018-07-17,8:00:00,PM,-8.8,-9.1,-9.9,-9.4
2018-07-17,9:00:00,PM,-8.8,-9,-9.9,-9.4
2018-07-17,10:00:00,PM,-8.7,-9,-9.9,-9.4
2018-07-17,11:00:00,PM,-8.7,-8.9,-9.9,-9.4
2018-07-18,12:00:00,AM,-8.7,-8.9,-9.8,-9.3
